Nama,Jenis Kelamin,Umur,Status Menikah,Kehadiran (%),Partisipasi Diskusi (skor),Nilai Tugas (rata-rata),Aktivitas E-Learning (skor),IPK,Status Akademik
Genta Novitasari,Perempuan,21,Belum Menikah,66,64,58,94,3.21,Lulus
Febi Zulaika,Perempuan,28,Menikah,54,54,40,64,2.14,Tidak
"Dr. Adinata Prasetyo, S.H.",Perempuan,24,Belum Menikah,93,45,54,52,3.59,Lulus
"Hana Yuniar, S.Ked",Perempuan,27,Belum Menikah,45,54,96,65,3.93,Lulus
"Drs. Yessi Zulaika, S.E.",Laki-laki,29,Menikah,41,50,89,76,3.12,Lulus
"Zelaya Zulaika, S.Pd",Laki-laki,25,Menikah,46,43,77,61,3.14,Lulus
"Drs. Kamaria Megantara, M.M.",Perempuan,28,Menikah,99,87,92,53,2.17,Lulus
Ir. Jayadi Prasasta,Laki-laki,23,Menikah,76,99,47,73,2.05,Lulus
Rusman Mandasari,Laki-laki,25,Menikah,51,87,75,78,3.18,Lulus
Ade Utami,Perempuan,29,Menikah,100,40,48,94,3.27,Lulus
"Drs. Kamaria Saptono, M.Kom.",Perempuan,28,Belum Menikah,90,46,41,53,2.73,Tidak
Putri Suryono,Perempuan,21,Belum Menikah,96,62,72,89,3.01,Lulus
H. Olga Astuti,Perempuan,21,Menikah,64,66,53,59,2.7,Lulus
Lukman Wibisono,Laki-laki,20,Menikah,86,43,88,96,3.08,Lulus
Samiah Setiawan,Perempuan,25,Menikah,51,86,63,48,2.44,Lulus
Dr. Kanda Siregar,Laki-laki,26,Menikah,52,79,71,94,2.39,Lulus
Hartana Manullang,Laki-laki,22,Menikah,46,94,99,60,3.2,Lulus
Okta Fujiati,Laki-laki,26,Menikah,72,45,83,61,2.81,Lulus
Jagaraga Melani,Perempuan,28,Menikah,94,53,96,96,3.48,Lulus
"dr. Danang Suartini, S.IP",Perempuan,30,Belum Menikah,49,86,55,97,3.34,Lulus
Chelsea Hassanah,Perempuan,23,Menikah,52,51,97,44,3.7,Lulus
Cut Ami Anggraini,Perempuan,27,Menikah,43,56,96,88,2.45,Lulus
"Zelda Prasetya, S.IP",Laki-laki,19,Belum Menikah,74,88,80,98,2.52,Lulus
"dr. Prayitna Damanik, S.I.Kom",Laki-laki,24,Belum Menikah,72,70,93,62,3.76,Lulus
Bakda Usamah,Perempuan,28,Belum Menikah,60,74,80,91,3.91,Lulus
Putri Hutasoit,Perempuan,21,Menikah,47,95,40,50,3.8,Lulus
Luluh Yulianti,Perempuan,28,Menikah,52,88,60,46,3.08,Lulus
Titi Ardianto,Laki-laki,28,Menikah,50,100,62,99,3.8,Lulus
Tgk. Tri Suryatmi,Perempuan,21,Belum Menikah,97,73,93,52,2.22,Lulus
Bajragin Handayani,Laki-laki,25,Menikah,82,68,69,43,2.92,Lulus
"Rama Winarsih, S.Sos",Perempuan,24,Menikah,65,98,88,83,3.13,Lulus
Citra Suartini,Laki-laki,20,Menikah,53,44,70,90,2.47,Lulus
Irma Haryanti,Laki-laki,22,Menikah,69,89,48,100,2.54,Lulus
Ulva Prayoga,Laki-laki,23,Menikah,42,60,54,42,3.75,Tidak
Cawisadi Zulkarnain,Laki-laki,23,Belum Menikah,56,60,52,69,3.94,Lulus
Hj. Kania Nababan,Laki-laki,28,Belum Menikah,78,45,48,62,3.69,Lulus
KH. Cemplunk Wibowo,Laki-laki,28,Belum Menikah,74,56,93,47,2.92,Lulus
"Atmaja Nuraini, S.Farm",Perempuan,20,Menikah,51,80,71,77,3.14,Lulus
Indra Napitupulu,Laki-laki,20,Belum Menikah,49,75,43,93,2.81,Lulus
Tasdik Haryanti,Perempuan,30,Menikah,82,84,80,77,3.02,Lulus
Ir. Puspa Wahyuni,Laki-laki,21,Belum Menikah,94,46,76,69,2.19,Lulus
Hana Pratiwi,Laki-laki,30,Menikah,79,91,80,100,3.49,Lulus
Kuncara Rajata,Perempuan,27,Menikah,79,73,44,65,2.74,Lulus
"Tgk. Mila Usada, S.E.I",Perempuan,29,Menikah,60,68,86,78,2.97,Lulus
Sakti Prasasta,Perempuan,24,Belum Menikah,88,78,70,52,2.02,Lulus
"drg. Panca Hassanah, M.M.",Laki-laki,28,Belum Menikah,65,80,50,54,3.76,Lulus
Harjaya Narpati,Laki-laki,30,Menikah,62,96,82,50,3.35,Lulus
Tiara Hartati,Laki-laki,30,Menikah,61,65,85,91,2.16,Lulus
R. Kamila Suartini,Perempuan,24,Menikah,44,82,47,61,2.26,Tidak
Hilda Nababan,Perempuan,24,Menikah,71,61,85,98,2.56,Lulus
"Gandewa Maulana, S.Kom",Perempuan,24,Menikah,61,53,77,62,3.88,Lulus
Kala Nasyidah,Laki-laki,30,Menikah,58,89,69,60,2.67,Lulus
Gasti Pradipta,Perempuan,28,Menikah,59,93,71,72,2.31,Lulus
Ibun Wastuti,Laki-laki,29,Belum Menikah,99,40,41,75,3.05,Lulus
"Gading Padmasari, M.Kom.",Perempuan,25,Menikah,85,50,57,91,3.3,Lulus
Genta Hartati,Perempuan,22,Belum Menikah,46,82,62,95,2.02,Lulus
"Sutan Artanto Wijaya, M.Ak",Laki-laki,24,Menikah,81,53,87,50,3.64,Lulus
Luhung Wasita,Laki-laki,25,Belum Menikah,83,69,63,84,3.96,Lulus
R.A. Malika Pranowo,Laki-laki,28,Belum Menikah,78,63,90,79,3.35,Lulus
"Rina Hastuti, S.Sos",Laki-laki,27,Menikah,57,94,89,99,2.45,Lulus
Muhammad Prakasa,Perempuan,19,Belum Menikah,86,69,59,83,2.8,Lulus
"Shakila Firgantoro, S.I.Kom",Laki-laki,23,Menikah,57,60,87,90,2.68,Lulus
"Teguh Sihotang, M.Pd",Laki-laki,29,Menikah,48,63,68,61,2.94,Lulus
Devi Uyainah,Perempuan,21,Menikah,97,82,69,52,2.38,Lulus
Muni Farida,Laki-laki,26,Belum Menikah,93,53,78,42,2.04,Lulus
Kasiyah Prasetya,Perempuan,21,Menikah,56,97,58,40,2.89,Lulus
drg. Raharja Wijaya,Perempuan,25,Belum Menikah,57,91,83,85,2.2,Lulus
Cinta Saptono,Laki-laki,21,Belum Menikah,53,87,67,52,2.94,Lulus
Betania Pudjiastuti,Perempuan,27,Menikah,98,82,69,92,2.94,Lulus
R. Kezia Melani,Perempuan,26,Belum Menikah,77,83,71,84,3.74,Lulus
Pangeran Maulana,Perempuan,20,Belum Menikah,98,95,85,51,3.94,Lulus
"Karma Puspasari, M.M.",Laki-laki,25,Menikah,43,76,77,92,2.88,Lulus
Widya Palastri,Perempuan,24,Menikah,68,44,53,91,2.52,Lulus
Wage Wijayanti,Laki-laki,22,Belum Menikah,51,71,85,74,2.77,Lulus
"Melinda Wacana, M.Farm",Laki-laki,19,Menikah,81,62,49,93,2.03,Lulus
"Ayu Astuti, M.M.",Perempuan,19,Menikah,66,93,44,100,3.14,Lulus
Aswani Habibi,Laki-laki,28,Belum Menikah,51,94,98,49,3.22,Lulus
"Vero Damanik, S.Kom",Perempuan,27,Belum Menikah,61,80,66,88,3.46,Lulus
Hilda Aryani,Laki-laki,24,Belum Menikah,49,87,83,45,2.85,Lulus
Syahrini Hardiansyah,Perempuan,19,Menikah,75,60,91,75,3.65,Lulus
Titi Gunarto,Perempuan,30,Menikah,65,83,56,58,2.79,Lulus
"Ade Saputra, M.Ak",Perempuan,22,Menikah,87,95,52,64,3.34,Lulus
R. Lala Sudiati,Perempuan,26,Menikah,98,57,58,57,3.06,Lulus
"Azalea Permata, M.TI.",Laki-laki,25,Belum Menikah,79,84,48,43,3.95,Lulus
"Kartika Pradana, S.I.Kom",Perempuan,28,Menikah,83,60,58,69,2.25,Lulus
Titi Rajata,Perempuan,28,Belum Menikah,84,41,99,52,3.67,Lulus
"Hafshah Widodo, S.Sos",Perempuan,24,Belum Menikah,47,41,75,100,3.91,Lulus
Budi Handayani,Laki-laki,23,Menikah,54,58,77,60,2.91,Lulus
Dt. Opan Saptono,Laki-laki,30,Menikah,50,71,82,85,3.27,Lulus
Vivi Novitasari,Laki-laki,20,Belum Menikah,53,93,42,89,2.07,Lulus
"Dt. Maras Prasetya, M.Farm",Perempuan,28,Belum Menikah,89,64,81,41,3.87,Lulus
Dinda Siregar,Laki-laki,27,Belum Menikah,54,42,83,53,3.7,Lulus
Dr. Baktianto Nashiruddin,Laki-laki,26,Belum Menikah,53,46,40,76,3.42,Lulus
"dr. Lidya Pangestu, M.TI.",Perempuan,24,Belum Menikah,67,41,94,60,3.37,Lulus
Luwar Prastuti,Laki-laki,25,Menikah,80,67,91,75,2.47,Lulus
Mala Damanik,Perempuan,30,Menikah,58,87,98,57,3.5,Lulus
Ifa Adriansyah,Perempuan,28,Belum Menikah,40,54,52,92,2.84,Lulus
Bagas Pratiwi,Laki-laki,19,Belum Menikah,55,70,64,65,2.24,Lulus
Intan Sirait,Perempuan,20,Belum Menikah,59,43,81,59,3.46,Lulus
"R. Cinta Saragih, S.IP",Laki-laki,21,Menikah,80,83,64,65,3.47,Lulus
"Vino Halim, S.IP",Perempuan,26,Menikah,53,91,71,42,2.93,Lulus
"Tugiman Iswahyudi, M.Pd",Laki-laki,21,Belum Menikah,92,100,93,73,2.97,Lulus
Sutan Emin Nasyidah,Laki-laki,29,Belum Menikah,61,89,40,95,2.5,Lulus
Nugraha Sihombing,Perempuan,24,Belum Menikah,100,63,51,70,3.83,Lulus
R. Jaka Dabukke,Laki-laki,25,Belum Menikah,55,57,72,97,3.58,Lulus
"Sutan Yosef Hidayat, S.H.",Laki-laki,19,Menikah,74,95,87,69,3.17,Lulus
Mitra Wulandari,Laki-laki,20,Belum Menikah,89,75,79,81,3.33,Lulus
H. Empluk Rahimah,Laki-laki,28,Belum Menikah,79,57,74,86,2.85,Lulus
Hj. Zamira Andriani,Laki-laki,20,Belum Menikah,74,89,42,63,2.93,Lulus
Tgk. Puji Marpaung,Laki-laki,19,Menikah,69,62,81,60,3.55,Lulus
Mila Prastuti,Perempuan,20,Belum Menikah,83,49,48,93,3.59,Lulus
Silvia Nugroho,Laki-laki,21,Menikah,72,84,63,79,2.13,Lulus
dr. Oskar Puspasari,Laki-laki,19,Belum Menikah,91,57,72,94,3.4,Lulus
"R.M. Harjo Adriansyah, S.Gz",Perempuan,27,Menikah,92,90,79,91,3.24,Lulus
drg. Kani Wibisono,Laki-laki,24,Belum Menikah,68,90,83,49,2.95,Lulus
"Puti Mala Adriansyah, S.H.",Laki-laki,25,Belum Menikah,81,99,73,46,3.95,Lulus
"Laksana Pranowo, S.Kom",Laki-laki,29,Belum Menikah,50,70,45,90,3.1,Lulus
R. Amalia Wibowo,Laki-laki,19,Menikah,90,71,90,85,2.81,Lulus
Yunita Samosir,Laki-laki,19,Menikah,50,89,57,87,3.83,Lulus
Amalia Hasanah,Perempuan,24,Belum Menikah,74,99,55,92,2.87,Lulus
Raisa Pertiwi,Perempuan,29,Belum Menikah,76,72,98,48,3.25,Lulus
"Putri Uyainah, M.Pd",Perempuan,20,Menikah,72,90,67,81,2.49,Lulus
R. Ivan Gunarto,Laki-laki,22,Belum Menikah,75,52,41,70,2.2,Tidak
Nadine Budiman,Perempuan,26,Belum Menikah,45,78,91,42,2.78,Lulus
Paramita Mahendra,Perempuan,30,Belum Menikah,79,78,76,64,3.09,Lulus
Ismail Puspita,Perempuan,28,Menikah,85,59,94,77,2.47,Lulus
Putri Wibisono,Laki-laki,27,Menikah,62,98,43,98,2.9,Lulus
Jumari Utami,Perempuan,27,Menikah,55,80,60,97,3.64,Lulus
Dian Hastuti,Perempuan,28,Menikah,76,81,98,89,3.84,Lulus
"dr. Karimah Pertiwi, S.H.",Perempuan,29,Menikah,53,92,56,49,3.29,Lulus
Nrima Samosir,Laki-laki,23,Belum Menikah,52,89,52,49,2.32,Lulus
Uchita Nugroho,Laki-laki,19,Menikah,62,64,93,84,3.57,Lulus
"Oni Pratiwi, S.T.",Perempuan,25,Belum Menikah,60,77,65,43,2.91,Lulus
R. Nadia Kuswoyo,Perempuan,22,Menikah,88,80,79,79,3.53,Lulus
Kawaya Usada,Laki-laki,29,Belum Menikah,99,58,76,55,3.99,Lulus
"Sutan Bahuraksa Januar, M.Farm",Perempuan,23,Belum Menikah,48,93,81,84,2.04,Lulus
"Mitra Winarno, S.E.I",Perempuan,23,Menikah,94,84,70,75,3.4,Lulus
Tgk. Raharja Mansur,Laki-laki,30,Belum Menikah,51,64,78,74,3.83,Lulus
Gading Narpati,Laki-laki,29,Menikah,43,87,92,54,2.44,Lulus
Qori Prasetyo,Laki-laki,30,Menikah,92,87,48,68,3.95,Lulus
Jindra Pradipta,Laki-laki,30,Belum Menikah,46,96,43,68,2.01,Lulus
Talia Sitompul,Perempuan,26,Menikah,95,85,73,45,2.58,Lulus
Hesti Nugroho,Laki-laki,30,Belum Menikah,87,62,100,65,3.98,Lulus
Zizi Prastuti,Perempuan,26,Menikah,77,92,75,44,2.42,Lulus
"Puti Maria Irawan, M.Kom.",Perempuan,27,Belum Menikah,61,63,62,93,2.76,Lulus
"dr. Puji Widodo, S.Farm",Perempuan,30,Belum Menikah,96,72,60,90,3.87,Lulus
"R.M. Jagaraga Hutapea, M.M.",Laki-laki,23,Menikah,69,100,42,89,3.77,Lulus
Sadina Rahayu,Laki-laki,23,Belum Menikah,69,79,48,40,2.76,Lulus
"Rahayu Purwanti, S.H.",Laki-laki,20,Belum Menikah,54,58,73,62,3.63,Lulus
Danu Zulaika,Laki-laki,30,Menikah,65,81,66,60,2.49,Lulus
Iriana Firgantoro,Perempuan,25,Belum Menikah,89,42,50,94,2.25,Lulus
Balamantri Rahimah,Laki-laki,19,Menikah,89,42,53,72,3.06,Lulus
Lasmono Purwanti,Perempuan,26,Belum Menikah,98,45,68,67,3.68,Lulus
"Dr. Lidya Sihombing, S.Farm",Perempuan,21,Menikah,55,90,75,49,2.85,Lulus
Prayoga Hardiansyah,Perempuan,23,Menikah,89,89,60,99,2.88,Lulus
Nasab Nainggolan,Perempuan,24,Belum Menikah,55,95,55,88,3.89,Lulus
R.A. Lili Haryanti,Laki-laki,20,Menikah,98,46,41,86,2.56,Lulus
"Hamima Sitompul, S.T.",Laki-laki,30,Menikah,56,79,45,84,2.13,Lulus
Jagaraga Nugroho,Perempuan,29,Menikah,90,95,89,85,3.93,Lulus
Xanana Maheswara,Laki-laki,25,Menikah,45,46,88,65,3.86,Lulus
Irsad Hakim,Perempuan,27,Belum Menikah,96,42,78,61,2.85,Lulus
Abyasa Nababan,Laki-laki,21,Belum Menikah,87,72,60,51,2.82,Lulus
Prabowo Setiawan,Laki-laki,24,Menikah,91,85,93,83,2.53,Lulus
"Drs. Emong Hutagalung, S.Pd",Perempuan,22,Menikah,70,70,100,45,3.69,Lulus
R. Winda Suwarno,Perempuan,22,Menikah,42,65,57,48,3.73,Lulus
Prabu Nugroho,Perempuan,23,Menikah,81,98,75,47,2.09,Lulus
Elma Wulandari,Laki-laki,20,Belum Menikah,71,59,81,50,2.53,Lulus
"Ulya Suwarno, M.Ak",Perempuan,20,Belum Menikah,85,89,74,45,3.4,Lulus
Belinda Nainggolan,Laki-laki,28,Menikah,51,49,66,88,3.75,Lulus
Titi Tampubolon,Perempuan,24,Menikah,96,46,41,54,2.5,Tidak
"R.M. Gamanto Kusumo, S.Psi",Perempuan,27,Belum Menikah,84,64,47,49,2.27,Lulus
Mursinin Maryati,Laki-laki,25,Menikah,95,47,72,73,2.6,Lulus
Melinda Riyanti,Perempuan,28,Belum Menikah,75,58,66,52,3.75,Lulus
Titin Sirait,Perempuan,19,Belum Menikah,93,85,85,91,2.7,Lulus
"Jagaraga Budiman, M.Pd",Perempuan,22,Belum Menikah,76,60,80,41,3.64,Lulus
"drg. Asirwanda Purwanti, S.E.",Laki-laki,25,Menikah,84,75,84,64,2.67,Lulus
Putri Yuliarti,Laki-laki,24,Menikah,41,91,55,73,3.33,Lulus
Intan Thamrin,Laki-laki,23,Belum Menikah,92,72,66,44,2.13,Lulus
Puti Zelda Tampubolon,Laki-laki,23,Menikah,43,92,63,47,2.87,Lulus
Vanya Permadi,Perempuan,19,Menikah,45,71,68,81,2.73,Lulus
Paris Pratama,Perempuan,28,Menikah,69,76,48,65,2.58,Lulus
Rachel Suwarno,Laki-laki,28,Menikah,70,100,55,50,3.67,Lulus
Samiah Hassanah,Laki-laki,26,Belum Menikah,65,60,40,95,3.96,Lulus
Tgk. Ratih Mansur,Perempuan,22,Menikah,65,65,60,62,3.16,Lulus
Restu Pangestu,Perempuan,24,Belum Menikah,68,92,60,86,3.13,Lulus
Bakti Prayoga,Perempuan,23,Menikah,75,97,52,84,3.01,Lulus
"Eko Saptono, S.Pt",Laki-laki,27,Menikah,52,84,48,82,2.58,Lulus
Ella Jailani,Laki-laki,22,Belum Menikah,97,57,59,80,3.47,Lulus
"Umi Nababan, M.Kom.",Perempuan,28,Menikah,93,47,61,96,2.59,Lulus
Dr. Aisyah Mahendra,Laki-laki,20,Belum Menikah,70,72,64,45,3.21,Lulus
"Dimaz Hasanah, S.Pd",Perempuan,27,Belum Menikah,91,80,98,78,2.55,Lulus
Waluyo Prakasa,Perempuan,29,Menikah,94,48,55,80,3.83,Lulus
Drs. Ibrahim Rahayu,Laki-laki,30,Belum Menikah,48,97,87,66,2.07,Lulus
Ulya Mulyani,Laki-laki,21,Menikah,48,83,86,56,2.81,Lulus
Maida Pradana,Perempuan,28,Menikah,80,90,70,98,3.15,Lulus
"Limar Suryono, M.Ak",Laki-laki,27,Belum Menikah,61,85,99,99,3.57,Lulus
dr. Lintang Rahayu,Laki-laki,24,Belum Menikah,63,76,87,68,2.57,Lulus
Kiandra Pradipta,Laki-laki,25,Menikah,80,46,83,74,3.61,Lulus
Paris Oktaviani,Perempuan,25,Menikah,86,66,55,98,3,Lulus
Rina Suwarno,Laki-laki,27,Belum Menikah,96,95,83,100,3.2,Lulus
Cut Lidya Dabukke,Perempuan,23,Menikah,62,62,86,93,3.18,Lulus
Karen Aryani,Perempuan,25,Belum Menikah,40,86,71,48,3.82,Lulus
Titi Astuti,Laki-laki,27,Menikah,97,80,82,95,2.35,Lulus
Lalita Permadi,Perempuan,21,Menikah,80,41,100,70,3.56,Lulus
Lintang Maryadi,Laki-laki,24,Menikah,95,45,68,100,2.04,Lulus
Drs. Adinata Winarno,Perempuan,26,Belum Menikah,96,46,65,68,2.65,Lulus
"Ade Rahayu, S.H.",Perempuan,20,Menikah,59,85,40,73,2.21,Lulus
"Aslijan Nurdiyanti, S.Pd",Laki-laki,22,Menikah,57,85,77,89,3.29,Lulus
R. Pangeran Wasita,Laki-laki,20,Belum Menikah,47,64,86,86,3.71,Lulus
Virman Januar,Perempuan,29,Belum Menikah,57,51,87,73,3.49,Lulus
"Restu Prasasta, S.Psi",Laki-laki,20,Menikah,54,65,95,95,3.7,Lulus
"Kenari Zulkarnain, S.E.I",Perempuan,19,Belum Menikah,55,48,58,73,3.54,Lulus
Puti Bella Purnawati,Laki-laki,24,Menikah,50,92,96,78,2.91,Lulus
"Sidiq Napitupulu, M.Farm",Laki-laki,26,Menikah,91,70,60,75,3.48,Lulus
Padma Permata,Perempuan,24,Menikah,55,92,53,62,3.8,Lulus
Gilda Situmorang,Perempuan,25,Menikah,100,65,88,75,3.93,Lulus
Okto Nainggolan,Perempuan,20,Belum Menikah,65,73,64,79,3.03,Lulus
Karma Wasita,Laki-laki,24,Menikah,59,72,90,54,2.73,Lulus
Vivi Wahyudin,Laki-laki,26,Menikah,67,69,48,45,2.3,Tidak
Elvina Tamba,Perempuan,25,Belum Menikah,45,44,68,51,2.99,Tidak
Zahra Siregar,Perempuan,20,Belum Menikah,64,46,86,65,2.66,Lulus
"Shakila Nainggolan, S.Pd",Perempuan,28,Menikah,66,47,84,43,3.99,Lulus
Ade Samosir,Perempuan,20,Menikah,52,41,66,77,3.01,Lulus
Cut Shania Nababan,Perempuan,30,Menikah,87,81,74,78,3.48,Lulus
"R.A. Ella Hidayat, M.TI.",Perempuan,24,Menikah,96,59,91,48,3.43,Lulus
"Hj. Ophelia Dabukke, S.Psi",Perempuan,25,Belum Menikah,65,71,45,52,3.46,Lulus
Galuh Padmasari,Laki-laki,19,Belum Menikah,42,63,49,90,3.8,Lulus
Asirwada Maryati,Laki-laki,21,Menikah,52,90,62,45,3.23,Lulus
"Drs. Hasan Hidayanto, S.Pt",Laki-laki,27,Belum Menikah,52,45,61,58,3.51,Lulus
Emin Laksita,Perempuan,21,Belum Menikah,51,67,79,93,2.42,Lulus
"Puti Cinta Nuraini, S.Farm",Perempuan,29,Menikah,93,63,54,54,3.08,Lulus
Daniswara Usada,Perempuan,27,Menikah,84,48,98,42,2.02,Lulus
"Putri Nainggolan, M.Pd",Perempuan,28,Belum Menikah,75,98,99,98,2.74,Lulus
Umaya Dabukke,Perempuan,29,Menikah,92,46,48,91,3.05,Lulus
Kasim Zulaika,Laki-laki,24,Menikah,48,52,58,64,2.45,Tidak
Legawa Yolanda,Perempuan,27,Menikah,48,63,89,57,3.45,Lulus
Elvina Prasetyo,Perempuan,26,Menikah,66,79,44,75,2.44,Lulus
Mulyanto Gunawan,Perempuan,27,Menikah,90,92,88,63,3.1,Lulus
Ciaobella Ardianto,Laki-laki,27,Belum Menikah,62,71,62,80,3.33,Lulus
Aditya Wasita,Perempuan,20,Belum Menikah,41,43,58,99,2.89,Lulus
"Belinda Nugroho, S.E.I",Perempuan,20,Menikah,77,95,75,65,3.77,Lulus
drg. Jasmin Pranowo,Laki-laki,28,Belum Menikah,67,89,64,87,2.63,Lulus
"Maimunah Saefullah, S.E.",Laki-laki,30,Belum Menikah,70,83,79,62,3.22,Lulus
"Dr. Gilang Wulandari, S.Sos",Perempuan,22,Belum Menikah,90,76,94,46,2.63,Lulus
Rendy Firmansyah,Laki-laki,30,Menikah,61,96,61,76,3.22,Lulus
Padmi Anggriawan,Laki-laki,19,Menikah,47,41,73,75,2.87,Lulus
"drg. Yahya Oktaviani, S.Kom",Laki-laki,25,Menikah,66,71,91,40,3.16,Lulus
"Eja Kuswandari, S.Pt",Laki-laki,30,Menikah,75,56,43,91,3.02,Lulus
Yono Namaga,Perempuan,19,Menikah,64,86,81,47,2.02,Lulus
Zalindra Permata,Perempuan,27,Belum Menikah,59,87,50,83,3.2,Lulus
Safina Wibisono,Perempuan,29,Belum Menikah,89,70,62,46,3.99,Lulus
Rina Nuraini,Laki-laki,27,Menikah,53,78,63,91,2.83,Lulus
Vivi Lailasari,Laki-laki,24,Belum Menikah,96,71,50,50,2.72,Lulus
Gawati Firmansyah,Laki-laki,29,Belum Menikah,65,86,67,52,3.93,Lulus
Karma Wulandari,Perempuan,27,Belum Menikah,99,91,69,43,2.29,Lulus
Dian Saragih,Laki-laki,30,Belum Menikah,54,43,86,94,3.28,Lulus
Galar Handayani,Perempuan,19,Belum Menikah,82,45,42,52,2.65,Tidak
Ihsan Waluyo,Laki-laki,23,Menikah,88,87,74,99,3.23,Lulus
"Garan Hutapea, S.Farm",Laki-laki,25,Menikah,40,76,80,44,3.74,Lulus
Estiawan Hartati,Laki-laki,23,Belum Menikah,87,88,92,95,2.56,Lulus
Ir. Hairyanto Budiyanto,Laki-laki,26,Menikah,66,51,43,43,2.45,Tidak
Gading Tamba,Perempuan,23,Menikah,93,100,51,43,2.87,Lulus
"Harsana Tarihoran, M.Pd",Perempuan,30,Menikah,45,62,96,42,2.49,Lulus
Ami Santoso,Perempuan,27,Menikah,40,90,67,63,3.34,Lulus
Manah Siregar,Laki-laki,30,Menikah,95,71,85,86,2.37,Lulus
Sabar Waluyo,Perempuan,23,Belum Menikah,93,86,43,51,2.68,Lulus
Novi Anggraini,Laki-laki,21,Menikah,93,68,51,69,3.51,Lulus
Candra Prakasa,Laki-laki,24,Menikah,43,68,53,88,2.12,Lulus
Puti Dewi Pudjiastuti,Laki-laki,25,Belum Menikah,87,78,46,99,2.28,Lulus
Reza Purwanti,Perempuan,21,Menikah,61,96,73,87,2.48,Lulus
"Elvin Rahimah, M.Farm",Perempuan,30,Belum Menikah,97,94,79,74,3.89,Lulus
Kardi Adriansyah,Perempuan,29,Belum Menikah,74,77,51,83,2.91,Lulus
Malik Hassanah,Perempuan,25,Belum Menikah,71,50,96,45,3.79,Lulus
"Dr. Rendy Jailani, S.Pt",Perempuan,27,Menikah,57,81,64,72,2.31,Lulus
Cemplunk Purnawati,Perempuan,22,Menikah,73,74,54,49,3.97,Lulus
KH. Ajiono Suryono,Laki-laki,24,Belum Menikah,70,65,64,53,3.59,Lulus
Suci Riyanti,Laki-laki,29,Menikah,92,93,98,47,2.19,Lulus
Vivi Purnawati,Perempuan,21,Menikah,55,96,41,80,3.73,Lulus
"drg. Sari Zulkarnain, S.Pt",Laki-laki,22,Menikah,65,73,95,74,3.37,Lulus
"Cengkal Handayani, S.IP",Laki-laki,26,Belum Menikah,84,47,66,91,3.83,Lulus
Karya Rahmawati,Laki-laki,22,Belum Menikah,58,77,85,89,3.58,Lulus
Kania Narpati,Perempuan,30,Menikah,53,42,47,69,2.67,Tidak
"Hj. Kamaria Anggriawan, S.IP",Laki-laki,26,Belum Menikah,78,47,46,56,2.95,Lulus
drg. Natalia Nurdiyanti,Perempuan,30,Menikah,90,47,63,95,2.31,Lulus
"Tgk. Gilda Usamah, S.I.Kom",Laki-laki,25,Belum Menikah,41,79,88,69,3.52,Lulus
Jagaraga Simanjuntak,Perempuan,25,Belum Menikah,70,42,90,52,3.61,Lulus
"Jagaraga Usamah, S.Psi",Laki-laki,23,Belum Menikah,49,84,71,99,2.79,Lulus
Warsita Pradipta,Laki-laki,20,Belum Menikah,40,63,49,41,2.69,Tidak
"Hj. Sari Wahyuni, S.I.Kom",Perempuan,24,Menikah,71,43,48,97,2.89,Lulus
Usyi Hutasoit,Laki-laki,20,Belum Menikah,85,100,98,83,3.51,Lulus
T. Enteng Oktaviani,Laki-laki,26,Menikah,59,86,62,73,3.52,Lulus
"Gamanto Wibowo, M.Farm",Laki-laki,22,Menikah,72,98,86,55,2.21,Lulus
"Opung Nashiruddin, M.Kom.",Laki-laki,28,Menikah,83,84,73,97,2.04,Lulus
"Tiara Kusumo, S.E.I",Perempuan,20,Belum Menikah,44,50,54,42,3.47,Tidak
"KH. Damu Pradana, M.M.",Perempuan,27,Belum Menikah,81,65,77,68,2.95,Lulus
Aurora Winarsih,Perempuan,19,Menikah,91,64,42,41,2.88,Lulus
Eka Lestari,Laki-laki,28,Belum Menikah,89,98,61,70,3.8,Lulus
H. Argono Nugroho,Laki-laki,29,Belum Menikah,44,52,47,40,3.02,Tidak
"R.A. Hamima Uwais, M.Pd",Laki-laki,29,Belum Menikah,84,86,95,77,3.85,Lulus
Silvia Wacana,Laki-laki,21,Menikah,78,87,59,44,2.55,Lulus
Pia Astuti,Laki-laki,30,Belum Menikah,55,75,65,66,3.54,Lulus
"Kanda Saragih, S.Pt",Laki-laki,30,Menikah,47,88,44,91,3.06,Lulus
"Kawaca Mansur, M.Pd",Perempuan,23,Menikah,52,89,83,89,2.49,Lulus
Eman Rahayu,Perempuan,23,Belum Menikah,79,65,79,76,3.9,Lulus
Jarwi Kusumo,Perempuan,22,Belum Menikah,66,71,81,53,3.07,Lulus
Oliva Anggriawan,Perempuan,27,Belum Menikah,41,87,67,41,3.95,Lulus
drg. Gamanto Oktaviani,Perempuan,30,Menikah,65,92,94,72,3.42,Lulus
Kunthara Puspita,Perempuan,22,Belum Menikah,44,66,91,95,2.12,Lulus
Gawati Sitorus,Perempuan,20,Belum Menikah,94,98,89,66,3.32,Lulus
"Hj. Jasmin Tarihoran, M.Ak",Perempuan,23,Belum Menikah,55,81,82,71,3.67,Lulus
"R. Gara Purnawati, S.Farm",Perempuan,29,Menikah,93,52,63,80,2.19,Lulus
